"country","state","county","pais","entidad","municipio","var_outcome","var_resultado","population","date","new_cases","cum_cases","time_cases","time_stamp"
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-02-19,1,1,0,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-02-20,0,1,1,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-02-21,1,2,2,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-02-22,1,3,3,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-02-23,1,4,4,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-02-24,0,4,5,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-02-25,0,4,6,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-02-26,1,5,7,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-02-27,1,6,8,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-02-28,2,8,9,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-02-29,2,10,10,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-03-01,2,12,11,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-03-02,7,19,12,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-03-03,5,24,13,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-03-04,4,28,14,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-03-05,3,31,15,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-03-06,6,37,16,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-03-07,13,50,17,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-03-08,8,58,18,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-03-09,30,88,19,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-03-10,24,112,20,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-03-11,23,135,21,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-03-12,22,157,22,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-03-13,39,196,23,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-03-14,42,238,24,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-03-15,46,284,25,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-03-16,60,344,26,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-03-17,34,378,27,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-03-18,34,412,28,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-03-19,42,454,29,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-03-20,70,524,30,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-03-21,38,562,31,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-03-22,46,608,32,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-03-23,75,683,33,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-03-24,68,751,34,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-03-25,81,832,35,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-03-26,121,953,36,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-03-27,102,1055,37,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-03-28,87,1142,38,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-03-29,86,1228,39,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-03-30,158,1386,40,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-03-31,117,1503,41,2020-05-24
"Mexico","MCMA","MCMA","México","ZMVM","ZMVM","Symptoms","Síntomas",21942666,2020-04-01,196,1699,42,2020-05-24
